course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
Statistics 1,STAT101,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT101&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"An introduction to the ideas, techniques and applications of statistics and probability.",,"Students that complete STAT101 should leave the course with: A solid conceptual understanding of key statistical concepts and techniques. The ability and confidence to perform a basic statistical analyses with data, including summarizing data, visualising data and making statistical inferences. Experience using technology to perform statistical procedures. An understanding of the importance of data collection and its role in determining the scope of a statistical inference. The knowledge of which statistical methods to use in which situations and how to interpret their results in context. A solid statistical foundation for further study in statistics.",,
Applied Statistics,STAT201,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT201&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"A practical introduction to commonly used statistical methods, designed to increase the breadth of statistics skills. The emphasis is on the application of statistical techniques to solve problems involving real data.",,,,
Regression Modelling,STAT202,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT202&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,Regression models are the most widely used statistical tools for examining the relationships among variables. This course will provide a practical introduction to the fundamentals of regression modelling.,,,,
Random Processes,STAT211,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT211&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"This course introduces some of the most useful probability concepts and models that are widely used in biology, medicine, economics, finance, engineering, physics and many other areas. The models that will be covered are Markov chains and Poisson processes.",,,,
Statistical Inference,STAT213,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT213&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,This course provides the theoretical foundations for statistical estimation and testing at an introductory level. These are essential for more advanced studies in statistics at higher levels because they facilitate a deeper understanding of statistical techniques and their applications.,,"On completion of the course, you will be able to: Apply various discrete and continuous univariate probability distributions in modelling statistical processes. Understand the concept of sampling distributions and how to apply them. Estimate unknown parameters of a given probability distribution using standard estimation techniques.",,"Textbooks / Resources Course materials will be provided and no textbook is needed. After enrolling in the course, you will be able to access materials from the course web page in Learn at: http://www.learn.canterbury.ac.nz/"
Introduction to Statistical Computing Using R,STAT221,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT221&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"Statistical computing skills are essential within the modern workplace of statisticians and other quantitative/analytical positions. This course will develop and build your skills in computer programming for statistics, using the free statistical computing package R which is one of the most widely used tools for data analysis. The course provides excellent preparation for the many UC statistics courses that use R and, more generally, courses that require quantitative computing skills. The newly developed computing skills will also be used to unleash the power of modern computational statistical techniques for analysing complex real world data.",,,,
Data Collection and Sampling Methods,STAT312,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT312&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,Data collection and sampling methods. Designs for surveys of populations.,,,,
Computational Statistics,STAT313,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT313&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"This course is an introduction to nonparametric statistical methods based on empirical distribution functions, kernel smoothing, bootstrap, and resampling. We will study these methods by looking at their theoretical properties and their performance in practical data analysis",,,,
Bayesian Inference,STAT314,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT314&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"This course explores the Bayesian approach to statistics by considering the theory, methods for computing Bayesian solutions, and examples of applications.",,To teach students to apply Bayesian inference methods to a range of common problems. The courses will: introduce the foundations of Bayesian inference introduce the use of statistical software WinBUGS and R. introduce numerical algorithms required for practical Bayesian inference. demonstrate application of Bayesian inference to a wide range of common problems provide some comparison of Bayesian inference to the classical frequentist methods give you experience in writing scientific and technical reports You will be able to: choose appropriate method for analysis of your dataset use WinBUGS or R to perform your analysis be able to interpret the analysis results in such a way that a non-user of statistics can understand write a scientific and technical report.,,"Textbooks / Resources Recommended Reading Andrew Gelman; Bayesian data analysis ; Third edition; CRC Press, 2014."
Multivariable Statistical Methods and Applications,STAT315,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=STAT315&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"Detailed study of multivariate methods. Application of multivariate methods, test statistics and distributions.",,"Students from the courses STAT315 and STAT463 will be able to: choose appropriate method when analysing data define the problem in a statistical framework fit a multivariable regression model to data and interpret the results understand and apply other dimension reduction methods such as principle component analysis (PCA), factor analysis (FA) and clustering use a generalised linear model (GLM) with data that does not follow a normal distribution identify when a mixed-model should be used and apply this to linear and generalised linear models use a generalised additive model (GAM) with non-linear data undertake appropriate statistical tests when multiple comparisons are used use the statistical analysis software R write scientific and technical reports",,
